City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,Arman,100,RU,1580932486,75,59.7,150.17,-6.25,11.07
310,Bayir,75,TR,1580932488,66,37.27,28.22,55.4,9.17
311,Kushmurun,0,KZ,1580932489,88,52.45,64.63,16.75,13.71
312,Camacha,20,PT,1580932490,88,33.08,-16.33,66.2,8.05
313,Jutai,94,BR,1580932491,54,-5.18,-68.9,89.44,5.88
314,San Mateo del Mar,0,MX,1580932492,80,16.2,-95.0,80.91,16.17
315,Atar,0,MR,1580932494,9,20.52,-13.05,67.69,6.46
316,Zelenokumsk,100,RU,1580932495,80,44.41,43.88,33.8,4.47
317,Mattersburg,75,AT,1580932496,59,47.73,16.4,36.0,16.11
318,Imbituba,75,BR,1580932497,94,-28.24,-48.67,78.8,14.99
319,Srandakan,93,ID,1580932501,93,-7.94,110.25,74.52,2.3
320,Khor,98,RU,1580932502,98,47.89,134.95,-14.76,9.13
321,Esim,0,GH,1580932503,81,4.87,-2.24,78.82,3.13
322,Inirida,76,CO,1580932504,46,3.87,-67.92,92.62,1.5
323,Raudeberg,75,NO,1580932505,93,61.99,5.14,43.0,12.75
324,Leningradskiy,100,RU,1580932507,96,69.38,178.42,-22.63,17.34
325,Ambilobe,100,MG,1580932508,89,-13.2,49.05,75.0,2.68
326,Pandamatenga,26,BW,1580932509,91,-18.53,25.63,67.26,4.5
327,Neyshabur,0,IR,1580932510,69,36.21,58.8,34.11,2.86
328,Christchurch,0,NZ,1580932511,87,-43.53,172.63,64.99,2.24
329,Vao,10,NC,1580932512,80,-22.67,167.48,79.74,21.3
330,Damghan,0,IR,1580932514,51,36.17,54.35,39.49,2.13
331,Castro,0,BR,1580932516,95,-24.79,-50.01,70.03,4.81
332,Oxapampa,100,PE,1580932517,96,-10.58,-75.4,60.03,3.04
333,Opmeer,90,NL,1580932518,87,52.71,4.94,45.0,8.05
334,Faya,8,SA,1580932520,87,18.39,42.45,57.2,5.82
335,Markala,23,ML,1580932521,10,13.7,-6.07,74.91,9.75
336,Sur,12,OM,1580932522,66,22.57,59.53,65.14,3.58
337,Kaita,75,JP,1580932524,69,34.37,132.55,36.0,3.36
338,Tucupita,100,VE,1580932525,55,9.06,-62.05,85.75,4.47
339,Mancio Lima,75,BR,1580932527,70,-7.61,-72.9,91.4,5.82
340,Husainabad,0,IN,1580932529,59,24.53,84.02,55.08,2.48
341,Capao Bonito,2,BR,1580932360,92,-24.01,-48.35,73.24,6.17
342,Mae Tha,8,TH,1580932531,72,18.46,99.14,73.0,2.24
343,Tabou,6,CI,1580932533,87,4.42,-7.35,77.14,3.24
344,Terrace,90,CA,1580932534,100,54.52,-128.6,39.0,12.75
345,Vizinga,100,RU,1580932535,94,61.07,50.1,1.36,6.85
346,Palasa,86,IN,1580932536,82,18.77,84.42,72.03,1.19
347,Najran,4,SA,1580932537,46,17.49,44.13,69.8,3.0
348,Ciudad Bolivar,1,VE,1580932336,29,8.12,-63.55,93.9,10.27
349,Resistencia,20,AR,1580932540,50,-27.46,-58.98,96.8,11.41
350,Hanna,13,CA,1580932542,69,51.63,-111.9,35.01,11.01
351,Aksarka,100,RU,1580932543,95,66.56,67.8,18.93,12.75
352,Valdivia,75,CL,1580932544,45,-39.81,-73.25,64.4,10.29
353,Dori,69,BF,1580932546,13,14.04,-0.03,70.72,9.08
354,Trudarmeyskiy,21,RU,1580932547,96,54.13,86.41,16.2,3.85
355,Amarante do Maranhao,100,BR,1580932548,95,-5.57,-46.74,74.25,3.29
356,Qatana,0,SY,1580932549,75,33.44,36.08,59.0,5.82
357,Enid,75,US,1580932551,50,36.4,-97.88,34.0,14.99
358,Cham,0,CH,1580932419,67,47.18,8.46,36.0,1.12
359,Anadyr,0,RU,1580932443,73,64.75,177.48,-31.0,2.24
